FXrate,insertedtimestamp,timestamp
1.08676,2023-03-31T12:59:50.596Z,2023-03-31T12:59:50.000Z
1.08676,2023-03-31T12:59:51.605Z,2023-03-31T12:59:51.000Z
1.08682,2023-03-31T12:59:52.631Z,2023-03-31T12:59:51.000Z
1.08686,2023-03-31T12:59:53.719Z,2023-03-31T12:59:53.000Z
1.08688,2023-03-31T12:59:54.684Z,2023-03-31T12:59:54.000Z
1.08681,2023-03-31T12:59:55.745Z,2023-03-31T12:59:55.000Z
1.08691,2023-03-31T12:59:56.657Z,2023-03-31T12:59:56.000Z
1.08693,2023-03-31T12:59:57.703Z,2023-03-31T12:59:57.000Z
1.08693,2023-03-31T12:59:58.729Z,2023-03-31T12:59:58.000Z
1.08694,2023-03-31T12:59:59.649Z,2023-03-31T12:59:58.000Z
1.08695,2023-03-31T13:00:00.930Z,2023-03-31T13:00:00.000Z
1.08691,2023-03-31T13:00:01.777Z,2023-03-31T13:00:01.000Z
1.08693,2023-03-31T13:00:02.700Z,2023-03-31T13:00:02.000Z
1.08694,2023-03-31T13:00:03.685Z,2023-03-31T13:00:02.000Z
1.087,2023-03-31T13:00:04.707Z,2023-03-31T13:00:03.000Z
1.087,2023-03-31T13:00:05.709Z,2023-03-31T13:00:03.000Z
1.087,2023-03-31T13:00:06.691Z,2023-03-31T13:00:06.000Z
1.08694,2023-03-31T13:00:07.702Z,2023-03-31T13:00:07.000Z
1.08694,2023-03-31T13:00:08.716Z,2023-03-31T13:00:07.000Z
1.08701,2023-03-31T13:00:09.915Z,2023-03-31T13:00:09.000Z
1.08699,2023-03-31T13:00:10.759Z,2023-03-31T13:00:10.000Z
1.0867,2023-03-31T13:00:11.773Z,2023-03-31T13:00:11.000Z
1.08701,2023-03-31T13:00:12.770Z,2023-03-31T13:00:12.000Z
1.08701,2023-03-31T13:00:13.861Z,2023-03-31T13:00:13.000Z
1.08697,2023-03-31T13:00:14.781Z,2023-03-31T13:00:14.000Z
1.08693,2023-03-31T13:00:15.769Z,2023-03-31T13:00:15.000Z
1.08686,2023-03-31T13:00:16.779Z,2023-03-31T13:00:16.000Z
1.08686,2023-03-31T13:00:17.827Z,2023-03-31T13:00:16.000Z
1.08691,2023-03-31T13:00:18.816Z,2023-03-31T13:00:18.000Z
1.08691,2023-03-31T13:00:19.815Z,2023-03-31T13:00:18.000Z
1.08688,2023-03-31T13:00:20.827Z,2023-03-31T13:00:20.000Z
1.08699,2023-03-31T13:00:21.918Z,2023-03-31T13:00:21.000Z
1.08693,2023-03-31T13:00:23.064Z,2023-03-31T13:00:22.000Z
1.08696,2023-03-31T13:00:23.902Z,2023-03-31T13:00:23.000Z
1.08696,2023-03-31T13:00:24.867Z,2023-03-31T13:00:23.000Z
1.08696,2023-03-31T13:00:25.993Z,2023-03-31T13:00:23.000Z
1.08695,2023-03-31T13:00:26.950Z,2023-03-31T13:00:26.000Z
